frequency	V(onoise)
1.000000000000000e+00	2.482091e-08
1.023292992280754e+00	2.482091e-08
1.047128548050899e+00	2.482091e-08
1.071519305237606e+00	2.482091e-08
1.096478196143185e+00	2.482091e-08
1.122018454301963e+00	2.482091e-08
1.148153621496882e+00	2.482091e-08
1.174897554939529e+00	2.482091e-08
1.202264434617413e+00	2.482091e-08
1.230268770812381e+00	2.482091e-08
1.258925411794167e+00	2.482091e-08
1.288249551693134e+00	2.482091e-08
1.318256738556407e+00	2.482091e-08
1.348962882591653e+00	2.482091e-08
1.380384264602885e+00	2.482091e-08
1.412537544622754e+00	2.482091e-08
1.445439770745927e+00	2.482091e-08
1.479108388168207e+00	2.482091e-08
1.513561248436208e+00	2.482091e-08
1.548816618912481e+00	2.482091e-08
1.584893192461113e+00	2.482091e-08
1.621810097358929e+00	2.482091e-08
1.659586907437560e+00	2.482091e-08
1.698243652461743e+00	2.482091e-08
1.737800828749374e+00	2.482091e-08
1.778279410038922e+00	2.482091e-08
1.819700858609982e+00	2.482091e-08
1.862087136662866e+00	2.482091e-08
1.905460717963246e+00	2.482091e-08
1.949844599758044e+00	2.482091e-08
1.995262314968878e+00	2.482091e-08
2.041737944669527e+00	2.482091e-08
2.089296130854037e+00	2.482091e-08
2.137962089502230e+00	2.482091e-08
2.187761623949550e+00	2.482091e-08
2.238721138568337e+00	2.482091e-08
2.290867652767770e+00	2.482091e-08
2.344228815319919e+00	2.482091e-08
2.398832919019488e+00	2.482091e-08
2.454708915685027e+00	2.482091e-08
2.511886431509577e+00	2.482091e-08
2.570395782768860e+00	2.482091e-08
2.630267991895378e+00	2.482091e-08
2.691534803926912e+00	2.482091e-08
2.754228703338163e+00	2.482091e-08
2.818382931264450e+00	2.482091e-08
2.884031503126602e+00	2.482091e-08
2.951209226666381e+00	2.482091e-08
3.019951720402012e+00	2.482091e-08
3.090295432513586e+00	2.482091e-08
3.162277660168374e+00	2.482091e-08
3.235936569296277e+00	2.482091e-08
3.311311214825905e+00	2.482091e-08
3.388441561392020e+00	2.482091e-08
3.467368504525310e+00	2.482091e-08
3.548133892335748e+00	2.482091e-08
3.630780547701007e+00	2.482091e-08
3.715352290971718e+00	2.482091e-08
3.801893963205605e+00	2.482091e-08
3.890451449942799e+00	2.482091e-08
3.981071705534965e+00	2.482091e-08
4.073802778041119e+00	2.482091e-08
4.168693834703346e+00	2.482091e-08
